"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2025","1.0003","1.0006","1.0007","1.0000","276.08M","-0.01%"
"06/16/2025","1.0004","1.0009","1.0010","1.0001","287.60M","0.01%"
"06/15/2025","1.0003","1.0009","1.0010","1.0001","181.04M","-0.02%"
"06/14/2025","1.0004","1.0003","1.0006","1.0003","124.20M","0.01%"
"06/13/2025","1.0003","1.0003","1.0006","1.0000","458.56M","0.01%"
"06/12/2025","1.0003","1.0000","1.0003","0.9997","268.31M","0.02%"
"06/11/2025","1.0000","0.9998","1.0002","0.9995","306.89M","0.02%"
"06/10/2025","0.9998","1.0002","1.0004","0.9997","334.05M","-0.04%"
"06/09/2025","1.0002","1.0004","1.0007","1.0002","378.56M","-0.02%"
"06/08/2025","1.0004","1.0004","1.0007","1.0003","153.07M","0.00%"
"06/07/2025","1.0004","1.0009","1.0010","1.0003","322.72M","-0.03%"
"06/06/2025","1.0007","1.0011","1.0014","1.0005","591.24M","0.00%"
"06/05/2025","1.0007","0.9994","1.0008","0.9994","552.16M","0.07%"
"06/04/2025","1.0000","1.0004","1.0004","0.9998","319.03M","-0.04%"
"06/03/2025","1.0004","1.0004","1.0006","1.0003","505.42M","0.00%"
"06/02/2025","1.0004","1.0003","1.0004","1.0001","326.08M","0.02%"
"06/01/2025","1.0002","1.0004","1.0005","1.0002","191.66M","-0.01%"
"05/31/2025","1.0003","1.0002","1.0004","1.0002","272.27M","0.01%"
"05/30/2025","1.0002","1.0001","1.0004","0.9999","351.94M","0.02%"
"05/29/2025","0.9999","1.0000","1.0003","0.9999","325.68M","0.00%"
"05/28/2025","1.0000","1.0001","1.0002","0.9996","472.57M","-0.02%"
"05/27/2025","1.0001","1.0002","1.0003","1.0000","468.40M","-0.01%"
"05/26/2025","1.0002","0.9999","1.0003","0.9990","334.83M","0.03%"
"05/25/2025","0.9999","0.9991","1.0002","0.9983","141.43M","0.08%"
"05/24/2025","0.9991","0.9999","1.0002","0.9990","289.17M","-0.08%"
"05/23/2025","0.9999","1.0000","1.0000","0.9996","434.22M","0.00%"
"05/22/2025","1.0000","1.0002","1.0004","0.9998","372.58M","-0.03%"
"05/21/2025","1.0003","1.0000","1.0005","0.9999","548.66M","0.01%"
"05/20/2025","1.0002","1.0001","1.0002","0.9998","474.62M","0.01%"
"05/19/2025","1.0001","1.0002","1.0002","1.0000","481.73M","-0.01%"
"05/18/2025","1.0002","1.0003","1.0003","1.0000","140.39M","-0.01%"
"05/17/2025","1.0003","1.0002","1.0004","1.0001","163.49M","0.01%"
"05/16/2025","1.0002","1.0000","1.0003","1.0000","325.73M","0.01%"
"05/15/2025","1.0001","1.0000","1.0002","1.0000","342.12M","-0.01%"
"05/14/2025","1.0002","1.0002","1.0002","0.9999","372.27M","0.00%"
"05/13/2025","1.0002","1.0002","1.0004","1.0000","412.95M","0.00%"
"05/12/2025","1.0002","1.0002","1.0003","0.9998","303.48M","0.00%"
"05/11/2025","1.0002","0.9997","1.0003","0.9997","173.16M","0.03%"
"05/10/2025","0.9998","1.0001","1.0001","0.9996","163.23M","-0.02%"
"05/09/2025","1.0001","1.0000","1.0003","0.9999","369.04M","0.01%"
"05/08/2025","1.0000","1.0003","1.0006","1.0000","385.33M","-0.03%"
"05/07/2025","1.0003","1.0002","1.0005","1.0000","253.17M","0.01%"
"05/06/2025","1.0002","1.0011","1.0017","1.0001","288.85M","-0.09%"
"05/05/2025","1.0011","1.0021","1.0039","1.0010","466.05M","-0.10%"
"05/04/2025","1.0021","1.0006","1.0022","1.0006","279.63M","0.14%"
"05/03/2025","1.0006","1.0004","1.0007","1.0002","273.46M","0.02%"
"05/02/2025","1.0004","1.0003","1.0005","1.0002","430.56M","0.01%"
"05/01/2025","1.0003","1.0003","1.0005","1.0002","391.71M","0.00%"
"04/30/2025","1.0003","1.0003","1.0007","1.0002","542.33M","-0.01%"
"04/29/2025","1.0004","1.0003","1.0004","1.0002","593.44M","0.01%"
"04/28/2025","1.0003","1.0003","1.0008","1.0003","728.25M","0.00%"
"04/27/2025","1.0003","1.0003","1.0004","1.0002","291.91M","0.00%"
"04/26/2025","1.0003","1.0006","1.0006","1.0002","543.15M","-0.03%"
"04/25/2025","1.0006","1.0004","1.0008","1.0002","1.29B","0.02%"
"04/24/2025","1.0004","1.0003","1.0005","1.0000","790.40M","0.00%"
"04/23/2025","1.0003","1.0003","1.0005","1.0000","651.35M","0.00%"
"04/22/2025","1.0003","0.9999","1.0007","0.9998","1.21B","0.04%"
"04/21/2025","0.9999","0.9997","1.0003","0.9995","599.79M","0.02%"
"04/20/2025","0.9997","0.9997","0.9998","0.9995","138.11M","0.00%"
"04/19/2025","0.9997","0.9994","0.9997","0.9994","197.02M","0.01%"
"04/18/2025","0.9996","0.9996","0.9998","0.9994","248.09M","-0.02%"
"04/17/2025","0.9997","1.0000","1.0000","0.9996","502.00M","-0.02%"
"04/16/2025","1.0000","0.9999","1.0001","0.9999","407.78M","0.01%"
"04/15/2025","0.9999","0.9999","1.0001","0.9998","386.25M","0.00%"
"04/14/2025","0.9999","0.9997","1.0000","0.9996","472.53M","0.02%"
"04/13/2025","0.9997","0.9999","0.9999","0.9996","421.99M","-0.02%"
"04/12/2025","0.9999","0.9995","0.9999","0.9995","168.94M","0.04%"
"04/11/2025","0.9995","0.9994","0.9997","0.9993","464.02M","0.01%"
"04/10/2025","0.9994","0.9997","0.9997","0.9992","491.46M","-0.03%"
"04/09/2025","0.9997","0.9991","1.0000","0.9991","716.50M","0.06%"
"04/08/2025","0.9991","0.9996","0.9999","0.9989","538.04M","-0.04%"
"04/07/2025","0.9996","0.9995","0.9997","0.9989","787.20M","0.01%"
"04/06/2025","0.9995","0.9999","1.0000","0.9992","449.65M","-0.03%"
"04/05/2025","0.9998","0.9997","1.0000","0.9996","115.78M","0.01%"
"04/04/2025","0.9997","0.9996","0.9999","0.9994","477.60M","0.00%"
"04/03/2025","0.9996","0.9998","1.0000","0.9994","406.37M","-0.02%"
"04/02/2025","0.9998","1.0000","1.0001","0.9996","516.72M","-0.02%"
"04/01/2025","1.0000","0.9999","1.0000","0.9997","387.69M","0.01%"
"03/31/2025","0.9999","1.0006","1.0008","0.9998","432.96M","-0.06%"
"03/30/2025","1.0006","1.0003","1.0007","1.0001","203.64M","0.02%"
"03/29/2025","1.0003","0.9998","1.0004","0.9998","126.49M","0.05%"
"03/28/2025","0.9998","0.9998","1.0001","0.9995","497.89M","0.00%"
"03/27/2025","0.9998","1.0004","1.0004","0.9997","370.85M","-0.04%"
"03/26/2025","1.0003","1.0003","1.0006","1.0002","462.44M","0.00%"
"03/25/2025","1.0002","1.0003","1.0003","1.0000","570.01M","0.00%"
"03/24/2025","1.0003","1.0002","1.0005","1.0000","503.51M","0.00%"
"03/23/2025","1.0003","1.0000","1.0003","0.9999","98.88M","0.03%"
"03/22/2025","1.0000","0.9997","1.0000","0.9997","70.22M","0.03%"
"03/21/2025","0.9997","0.9996","0.9999","0.9996","345.91M","0.01%"
"03/20/2025","0.9996","1.0004","1.0005","0.9995","418.29M","-0.08%"
"03/19/2025","1.0004","1.0003","1.0005","1.0001","540.06M","0.03%"
"03/18/2025","1.0002","1.0002","1.0003","1.0000","409.98M","0.01%"
"03/17/2025","1.0000","1.0000","1.0001","0.9999","494.31M","0.01%"
"03/16/2025","1.0000","1.0001","1.0002","0.9999","467.87M","-0.02%"
"03/15/2025","1.0001","1.0002","1.0003","1.0000","504.31M","0.00%"
"03/14/2025","1.0002","0.9996","1.0002","0.9996","770.04M","0.06%"
"03/13/2025","0.9996","0.9999","1.0002","0.9995","602.00M","-0.03%"
"03/12/2025","0.9999","1.0001","1.0002","0.9999","563.44M","-0.01%"
"03/11/2025","1.0000","1.0001","1.0005","0.9999","720.98M","0.01%"
"03/10/2025","1.0000","1.0004","1.0008","0.9998","661.92M","-0.05%"
