"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2025","554.50","555.60","567.09","521.82","54.82M","-0.20%"
"04/06/2025","555.60","593.59","593.80","544.71","10.65M","-6.40%"
"04/05/2025","593.59","597.60","598.90","589.79","3.61M","-0.67%"
"04/04/2025","597.60","592.79","600.00","585.10","9.88M","0.83%"
"04/03/2025","592.70","590.00","610.00","578.50","18.40M","0.47%"
"04/02/2025","589.91","611.11","611.60","584.71","23.95M","-3.44%"
"04/01/2025","610.91","604.80","618.50","604.50","15.86M","1.01%"
"03/31/2025","604.80","602.01","608.80","587.40","9.74M","0.46%"
"03/30/2025","602.00","602.81","613.20","593.70","5.79M","-0.13%"
"03/29/2025","602.80","619.60","623.70","597.30","9.80M","-2.71%"
"03/28/2025","619.60","637.01","637.20","615.90","16.68M","-2.73%"
"03/27/2025","637.01","617.90","642.40","617.10","37.89M","3.11%"
"03/26/2025","617.80","629.90","634.00","615.40","10.46M","-1.92%"
"03/25/2025","629.90","636.90","644.90","627.10","19.73M","-1.13%"
"03/24/2025","637.10","623.50","639.39","618.50","13.62M","2.20%"
"03/23/2025","623.40","627.20","629.30","619.60","10.32M","-0.59%"
"03/22/2025","627.10","635.50","636.20","623.80","11.72M","-1.29%"
"03/21/2025","635.30","630.70","637.99","625.42","18.31M","0.71%"
"03/20/2025","630.80","618.60","637.70","616.60","25.96M","1.97%"
"03/19/2025","618.60","628.10","628.10","604.70","24.67M","-1.50%"
"03/18/2025","628.00","631.30","643.09","621.60","26.67M","-0.57%"
"03/17/2025","631.60","602.40","643.10","602.40","22.36M","4.87%"
"03/16/2025","602.30","619.50","622.70","593.20","11.65M","-2.82%"
"03/15/2025","619.80","588.10","619.90","588.00","10.97M","5.55%"
"03/14/2025","587.22","579.19","589.60","577.09","6.65M","1.28%"
"03/13/2025","579.80","569.59","605.79","568.01","21.35M","1.74%"
"03/12/2025","569.90","551.90","574.80","544.60","11.53M","3.30%"
"03/11/2025","551.70","531.11","565.90","508.02","20.30M","3.88%"
"03/10/2025","531.10","554.12","572.68","523.20","9.64M","-4.15%"
"03/09/2025","554.12","593.29","593.29","550.21","7.05M","-6.60%"
"03/08/2025","593.29","594.60","602.30","590.30","4.25M","-0.22%"
"03/07/2025","594.61","596.40","610.09","577.90","7.85M","-0.32%"
"03/06/2025","596.50","598.20","612.32","589.40","6.16M","-0.28%"
"03/05/2025","598.20","583.70","605.71","580.70","5.09M","2.45%"
"03/04/2025","583.90","574.38","588.29","548.23","16.96M","1.37%"
"03/03/2025","576.02","623.09","623.56","567.72","522.39K","-7.67%"
"03/02/2025","623.90","607.92","634.48","601.88","495.13K","2.63%"
"03/01/2025","607.92","588.01","609.44","586.43","307.14K","3.39%"
"02/28/2025","587.97","605.43","606.27","560.20","629.03K","-2.90%"
"02/27/2025","605.51","611.52","619.48","596.15","312.23K","-0.99%"
"02/26/2025","611.54","623.46","632.07","595.19","445.87K","-1.91%"
"02/25/2025","623.46","615.94","628.15","587.63","691.52K","1.55%"
"02/24/2025","613.93","658.71","659.29","611.31","384.03K","-6.70%"
"02/23/2025","658.04","669.06","671.09","648.73","179.21K","-1.56%"
"02/22/2025","668.49","646.14","679.40","645.24","319.29K","3.29%"
"02/21/2025","647.20","656.47","668.01","635.19","339.08K","-1.39%"
"02/20/2025","656.29","650.93","658.95","646.17","238.72K","0.39%"
"02/19/2025","653.71","647.76","662.44","637.90","378.66K","0.85%"
"02/18/2025","648.18","667.43","668.15","630.09","396.60K","-2.88%"
"02/17/2025","667.43","673.24","681.83","658.41","345.97K","-0.86%"
"02/16/2025","673.24","662.19","685.57","653.64","385.57K","1.64%"
"02/15/2025","662.39","659.78","670.90","653.56","277.80K","0.40%"
"02/14/2025","659.78","664.72","684.74","652.15","700.50K","-0.74%"
"02/13/2025","664.72","696.94","730.87","659.67","1.89M","-4.62%"
"02/12/2025","696.94","642.53","705.25","627.33","856.97K","8.47%"
"02/11/2025","642.53","618.47","646.63","615.12","511.37K","3.89%"
"02/10/2025","618.47","615.95","621.95","596.58","389.78K","0.41%"
"02/09/2025","615.96","612.30","648.07","602.76","835.77K","0.60%"
"02/08/2025","612.30","577.85","633.58","573.63","514.55K","5.96%"
"02/07/2025","577.85","572.04","589.62","570.81","232.09K","1.02%"
"02/06/2025","572.04","569.21","589.35","568.89","347.84K","0.50%"
"02/05/2025","569.21","572.72","579.35","561.74","235.71K","-0.61%"
"02/04/2025","572.72","617.25","619.12","558.33","570.36K","-7.21%"
"02/03/2025","617.25","617.48","618.81","512.62","1.43M","-0.04%"
"02/02/2025","617.48","652.95","662.96","601.72","527.57K","-5.51%"
"02/01/2025","653.49","677.48","681.52","650.80","183.10K","-3.54%"
"01/31/2025","677.48","677.61","689.35","673.63","196.42K","0.01%"
"01/30/2025","677.43","667.78","682.66","666.08","150.54K","1.45%"
"01/29/2025","667.78","661.41","679.37","659.55","263.24K","0.96%"
"01/28/2025","661.41","679.76","682.85","659.66","210.18K","-2.67%"
"01/27/2025","679.53","667.56","680.51","640.08","507.83K","1.79%"
"01/26/2025","667.56","686.33","690.73","665.10","202.40K","-2.73%"
"01/25/2025","686.33","680.59","689.56","678.04","149.90K","0.84%"
"01/24/2025","680.59","690.18","691.23","678.86","291.48K","-1.39%"
"01/23/2025","690.18","695.20","697.56","680.40","345.13K","-0.72%"
"01/22/2025","695.20","692.21","703.96","690.14","228.73K","0.43%"
"01/21/2025","692.21","682.10","697.01","675.04","313.51K","1.48%"
"01/20/2025","682.10","683.75","709.18","672.14","715.04K","-0.24%"
