"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2025","1,887.65","1,936.53","1,940.61","1,863.28","353.24K","-2.56%"
"03/15/2025","1,937.17","1,910.71","1,954.50","1,904.30","225.98K","1.34%"
"03/14/2025","1,911.62","1,863.57","1,945.25","1,861.63","405.34K","2.52%"
"03/13/2025","1,864.69","1,906.05","1,916.35","1,823.72","617.45K","-2.28%"
"03/12/2025","1,908.22","1,923.22","1,955.50","1,833.70","844.66K","-0.73%"
"03/11/2025","1,922.28","1,865.07","1,961.10","1,766.97","1.26M","3.10%"
"03/10/2025","1,864.40","2,019.89","2,144.65","1,821.03","1.34M","-7.70%"
"03/09/2025","2,019.89","2,203.59","2,211.54","1,993.97","645.58K","-8.34%"
"03/08/2025","2,203.59","2,140.49","2,232.28","2,107.01","352.50K","2.92%"
"03/07/2025","2,141.17","2,202.22","2,248.54","2,105.35","844.51K","-2.78%"
"03/06/2025","2,202.39","2,243.09","2,319.82","2,177.78","636.24K","-1.75%"
"03/05/2025","2,241.65","2,170.29","2,272.73","2,156.24","721.81K","3.29%"
"03/04/2025","2,170.29","2,143.02","2,221.61","2,001.50","1.35M","0.99%"
"03/03/2025","2,149.11","2,509.98","2,511.58","2,099.70","1.18M","-14.66%"
"03/02/2025","2,518.17","2,217.53","2,546.39","2,179.67","1.35M","13.56%"
"03/01/2025","2,217.53","2,233.88","2,280.35","2,144.69","480.61K","-0.84%"
"02/28/2025","2,236.41","2,307.32","2,312.79","2,078.68","1.39M","-3.09%"
"02/27/2025","2,307.73","2,337.98","2,379.59","2,232.28","687.34K","-1.29%"
"02/26/2025","2,337.98","2,496.06","2,507.13","2,258.60","933.33K","-6.33%"
"02/25/2025","2,496.06","2,511.04","2,533.18","2,339.46","1.44M","-0.59%"
"02/24/2025","2,510.94","2,819.69","2,838.22","2,493.73","959.09K","-10.95%"
"02/23/2025","2,819.69","2,763.23","2,837.98","2,745.96","655.96K","2.04%"
"02/22/2025","2,763.23","2,662.35","2,795.29","2,654.73","485.01K","3.79%"
"02/21/2025","2,662.35","2,738.05","2,841.56","2,619.06","974.36K","-2.76%"
"02/20/2025","2,738.03","2,716.16","2,767.27","2,707.50","372.95K","0.81%"
"02/19/2025","2,716.16","2,671.36","2,735.99","2,657.15","362.40K","1.68%"
"02/18/2025","2,671.36","2,743.55","2,754.43","2,610.47","648.95K","-2.63%"
"02/17/2025","2,743.47","2,662.78","2,845.96","2,647.51","696.20K","3.03%"
"02/16/2025","2,662.80","2,693.04","2,724.22","2,656.73","207.06K","-1.14%"
"02/15/2025","2,693.40","2,725.51","2,738.17","2,675.51","216.63K","-1.18%"
"02/14/2025","2,725.51","2,675.33","2,789.23","2,665.51","466.76K","1.88%"
"02/13/2025","2,675.30","2,737.86","2,756.21","2,617.39","496.62K","-2.22%"
"02/12/2025","2,735.91","2,603.11","2,789.88","2,553.50","689.45K","5.10%"
"02/11/2025","2,603.11","2,661.00","2,724.50","2,579.93","521.35K","-2.18%"
"02/10/2025","2,661.00","2,628.27","2,691.62","2,563.27","425.46K","1.24%"
"02/09/2025","2,628.27","2,631.61","2,681.93","2,534.86","423.07K","-0.12%"
"02/08/2025","2,631.56","2,622.81","2,666.86","2,590.08","403.82K","0.33%"
"02/07/2025","2,622.81","2,688.28","2,797.10","2,564.79","745.29K","-2.44%"
"02/06/2025","2,688.28","2,785.69","2,854.27","2,666.71","772.85K","-3.49%"
"02/05/2025","2,785.62","2,731.76","2,822.55","2,702.34","731.42K","1.97%"
"02/04/2025","2,731.76","2,881.91","2,884.91","2,636.03","1.33M","-5.21%"
"02/03/2025","2,881.90","2,869.72","2,904.34","2,261.27","3.00M","0.42%"
"02/02/2025","2,869.75","3,116.44","3,163.03","2,788.75","1.17M","-8.00%"
"02/01/2025","3,119.13","3,298.69","3,331.28","3,102.98","377.66K","-5.44%"
"01/31/2025","3,298.69","3,247.22","3,434.27","3,214.07","700.31K","1.59%"
"01/30/2025","3,247.22","3,113.26","3,281.91","3,093.23","386.53K","4.30%"
"01/29/2025","3,113.26","3,077.78","3,171.08","3,055.53","449.52K","1.15%"
"01/28/2025","3,077.83","3,182.86","3,222.96","3,041.05","386.37K","-3.20%"
"01/27/2025","3,179.47","3,234.11","3,253.00","3,030.68","819.62K","-1.69%"
"01/26/2025","3,234.18","3,318.14","3,359.15","3,234.07","288.83K","-2.53%"
"01/25/2025","3,318.14","3,311.05","3,350.22","3,272.14","225.91K","0.21%"
"01/24/2025","3,311.05","3,338.42","3,423.71","3,276.30","497.87K","-0.82%"
"01/23/2025","3,338.37","3,242.60","3,344.36","3,189.50","672.00K","2.95%"
"01/22/2025","3,242.60","3,327.55","3,365.53","3,223.17","373.50K","-2.57%"
"01/21/2025","3,328.30","3,282.74","3,364.90","3,204.77","597.36K","1.39%"
"01/20/2025","3,282.68","3,216.67","3,449.78","3,150.35","1.26M","2.05%"
"01/19/2025","3,216.74","3,308.73","3,445.65","3,133.37","1.44M","-2.78%"
"01/18/2025","3,308.74","3,472.84","3,493.38","3,233.53","677.72K","-4.73%"
"01/17/2025","3,472.84","3,307.10","3,524.96","3,307.10","574.06K","5.01%"
"01/16/2025","3,307.00","3,450.79","3,459.88","3,267.48","536.74K","-4.17%"
"01/15/2025","3,450.79","3,224.16","3,469.81","3,187.66","527.11K","7.03%"
"01/14/2025","3,224.06","3,137.77","3,254.32","3,127.34","413.87K","2.75%"
"01/13/2025","3,137.73","3,267.52","3,337.90","2,943.61","952.50K","-3.97%"
"01/12/2025","3,267.30","3,282.89","3,299.65","3,225.06","187.61K","-0.50%"
"01/11/2025","3,283.57","3,267.08","3,319.41","3,219.02","170.84K","0.50%"
"01/10/2025","3,267.08","3,218.15","3,320.94","3,197.86","500.73K","1.52%"
"01/09/2025","3,218.15","3,327.14","3,356.69","3,160.67","543.60K","-3.28%"
"01/08/2025","3,327.14","3,380.50","3,414.89","3,218.35","638.46K","-1.58%"
"01/07/2025","3,380.56","3,687.71","3,700.71","3,358.95","589.56K","-8.33%"
"01/06/2025","3,687.75","3,635.11","3,742.07","3,611.01","364.63K","1.45%"
"01/05/2025","3,635.11","3,656.94","3,672.41","3,596.63","170.02K","-0.57%"
"01/04/2025","3,656.13","3,608.79","3,669.62","3,574.98","249.81K","1.31%"
"01/03/2025","3,608.79","3,455.21","3,626.10","3,424.79","367.78K","4.45%"
"01/02/2025","3,455.19","3,360.14","3,494.60","3,355.49","362.32K","2.83%"
"01/01/2025","3,360.14","3,337.80","3,373.11","3,315.98","209.22K","0.67%"
"12/31/2024","3,337.80","3,361.99","3,449.27","3,317.39","333.44K","-0.72%"
"12/30/2024","3,361.99","3,355.97","3,436.83","3,306.11","494.99K","0.18%"
"12/29/2024","3,355.97","3,404.53","3,412.32","3,327.45","176.43K","-1.43%"
